Race	FIGHTER	ROGUE	WIZARD	BARBARIAN	CLERIC	RANGER	PALADIN	WARLOCK	MONK	BARD	SORCERER	DRUID	TOTAL
HUMAN	4,888	2,542	2,568	1,435	2,339	1,715	2,326	1,714	1,946	1,454	1,324	996	25,248
ELF	1,242	2,257	2,744	336	921	3,076	492	755	1,349	651	841	1,779	16,443
HALF-ELF	646	1,325	611	153	628	891	817	1,401	399	1,808	1,258	516	10,454
DWARF	2,009	362	395	1,323	2,199	415	971	286	405	394	264	484	9,507
DRAGONBORN	1,335	325	346	875	510	355	1,688	584	457	371	1,031	309	8,185
TIEFLING	379	798	516	198	353	272	473	2,188	309	806	1,062	281	7,634
GENASI	580	495	558	388	459	420	322	415	750	352	648	584	5,971
HALFLING	339	1,797	257	306	308	440	207	296	551	801	310	302	5,916
HALF-ORC	976	233	143	1,709	272	245	427	212	284	199	126	215	5,039
GNOME	257	600	1,360	227	304	238	151	311	196	400	257	332	4,634
GOLIATH	865	139	109	1,729	192	187	389	136	326	144	114	190	4,522
AARAKOCRA	273	362	181	313	249	572	149	203	835	279	177	275	3,868
AASIMAR	116	71	67	70	274	60	429	210	87	144	174	65	1,767
TOTAL	13,906	11,307	9,855	9,063	9,009	8,887	8,840	8,711	7,892	7,804	7,587	6,328	NA
