name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons
9f3a61	Human	Charlatan	2018-07-27T23:53:51Z	Warlock 1	Warlock	The Fiend	1	Lucky	8	12	10	13	16	8	10	16	CN	Sleight of Hand|Insight|Perception|Deception|Intimidation	Crossbow, light|Eldritch Blast PHB237|Burning Hands PHB220|Dagger	Eldritch blast*0|Minor illusion*0|Hex*1|Burning hands*1	07 27 18	CN	N	C	Human	Eldritch Blast*0|Minor Illusion*0|Hex*1|Burning Hands*1	Crossbow, Light|Dagger
9f3a61	Human	Custom	2018-07-27T17:07:02Z	Warlock 1	Warlock	The Fiend	1	Lucky	8	12	10	13	16	8	10	16	CN	Insight|Deception|Intimidation	Crossbow, light|Eldritch Blast PHB237|Burning Hands PHB 220|Dagger	Eldritch blast*0|Minor illusion*0|Hex*1|Burning hands*1	07 27 18	CN	N	C	Human	Eldritch Blast*0|Minor Illusion*0|Hex*1|Burning Hands*1	Crossbow, Light|Dagger
7a2bfc	Kenku	Criminal	2018-05-27T20:14:52Z	Warlock 3	Warlock	The Celestial	3		13	13	8	15	10	14	13	15		Sleight of Hand|Stealth|Arcana|Religion|Deception	Crossbow, Light|Dagger	Light*0|Sacred Flame*0|Eldritch Blast*0|Agonizing Blast (ELDRITCH INVOCATION)*0|Mask Of Many Faces (ELDRITCH INVOCATION)*0|Prestidigitation*0|Guidance (Pact of the Tome)*0|True Strike (Pact of the Tome)*0|Mage Hand (Pact of the Tome)*0|Cure Wounds*1|Guiding Bolt*1|Hellish Rebuke*1|Protection from Evil and Good*1|Lesser Restoration*2|Flaming Sphere*2|Mirror Image*2|Misty Step*2	05 27 18		NA	NA	Kenku	Light*0|Sacred Flame*0|Eldritch Blast*0|Eldritch Blast*0|Prestidigitation*0|Guidance*0|True Strike*0|Mage Hand*0|Cure Wounds*1|Guiding Bolt*1|Hellish Rebuke*1|Protection from Evil and Good*1|Lesser Restoration*2|Flaming Sphere*2|Mirror Image*2|Misty Step*2	Crossbow, Light|Dagger
aa8854	High Elf	Criminal	2018-08-04T15:45:17Z	Wizard 1	Wizard		1		7	13	10	16	13	16	12	8		Stealth|Arcana|Investigation|Perception|Deception	Quarterstaff		08 04 18		NA	NA	Elf		Quarterstaff
26410c	Firbolg	Folk Hero	2018-07-26T03:31:17Z	Cleric 4	Cleric	Trickery Domain	4	Inspiring Leader	42	16	16	11	18	13	18	14		History|Animal Handling|Insight|Survival	Mace|Crossbow, light	Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2	07 25 18		NA	NA	Firbolg	Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2	Mace|Crossbow, Light
088313	Stout Halfling	Soldier	2018-08-13T18:42:17Z	Fighter 7	Fighter	Champion	7	Squat Nimbleness	76	18	18	14	14	12	12	9		Athletics|Acrobatics|Insight|Intimidation	Maul|Longsword|Crossbow, light		08 13 18		NA	NA	Halfling		Maul|Longsword|Crossbow, Light
998121	Dragonborn	Hermit	2018-07-01T19:50:49Z	Warlock 1	Warlock	The Fiend	1		10	11	12	11	15	12	10	16		Arcana|Investigation|Religion|Medicine	Quarterstaff|Club|Dagger		07 01 18		NA	NA	Dragonborn		Quarterstaff|Club|Dagger
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:29:31Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:18:53Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
af7e20	Mountain Dwarf	Outlander	2018-09-09T08:04:25Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin|Hazirawn/Nec	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin
